Data	Codice	Home	Risultati	Versione Sigma	Status	Ultimo Aggiornamento
2024-02-03/04	COD11507	https://www.fidal.it/risultati/2024/COD11507/Index.htm	https://www.fidal.it/risultati/2024/COD11507/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-02-03/04	REG34439	https://www.fidal.it/risultati/2024/REG34439/Index.htm	https://www.fidal.it/risultati/2024/REG34439/Index.htm	Vecchissimo	ok	2024-02-07
2024-02-06	REG33877	https://www.fidal.it/risultati/2024/REG33877/Index.htm	https://www.fidal.it/risultati/2024/REG33877/Index.htm	Vecchissimo	ok	2024-02-07
2024-02-06	COD11292	https://www.fidal.it/risultati/2024/COD11292/Index.htm	https://www.fidal.it/risultati/2024/COD11292/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-02-07	REG34441	https://www.fidal.it/risultati/2024/REG34441/Index.htm	https://www.fidal.it/risultati/2024/REG34441/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-02-07
2024-02-10	REG34137				Gara non esistente	2024-02-07
2024-02-10	REG34259				Gara non esistente	2024-02-07
2024-02-10	REG34242				Gara non esistente	2024-02-07
2024-02-10	REG34229				Gara non esistente	2024-02-07
2024-02-10	REG34718				Gara non esistente	2024-02-07
2024-02-10	REG34668				Gara non esistente	2024-02-07
2024-02-10	REG33807				Gara non esistente	2024-02-07
2024-02-10	REG34243				Gara non esistente	2024-02-07
2024-02-10	REG33878	https://www.fidal.it/risultati/2024/REG33878/Index.htm		Nuovo	Risultati non ancora disponibili	2024-02-07
2024-02-10	REG34434				Gara non esistente	2024-02-07
2024-02-10	REG34400				Gara non esistente	2024-02-07
2024-02-10	REG34221				Gara non esistente	2024-02-07
2024-02-11	REG34036				Gara non esistente	2024-02-07
2024-02-11	REG34279	https://www.fidal.it/risultati/2024/REG34279/Index.htm	https://www.fidal.it/risultati/2024/REG34279/Index.htm	Vecchissimo	ok	2024-02-07
2024-02-11	REG34603				Gara non esistente	2024-02-07
2024-02-11	REG34223				Gara non esistente	2024-02-07
2024-02-11	REG34436				Gara non esistente	2024-02-07
2024-02-11	REG33757	https://www.fidal.it/risultati/2024/REG33757/Index.htm	https://www.fidal.it/risultati/2024/REG33757/Index.htm	Vecchissimo	ok	2024-02-07
2024-02-11	REG34278	https://www.fidal.it/risultati/2024/REG34278/Index.htm		Nuovo	Risultati non ancora disponibili	2024-02-07
2024-02-11	REG33923	https://www.fidal.it/risultati/2024/REG33923/Index.htm		Nuovo	Risultati non ancora disponibili	2024-02-07
2024-02-11	REG33924	https://www.fidal.it/risultati/2024/REG33924/Index.htm		Nuovo	Risultati non ancora disponibili	2024-02-07
2024-02-10/11	REG33665				Gara non esistente	2024-02-07
2024-02-10/11	COD11508	https://www.fidal.it/risultati/2024/COD11508/Index.htm		Nuovo	Risultati non ancora disponibili	2024-02-07
2024-02-11	REG33881	https://www.fidal.it/risultati/2024/REG33881/Index.htm		Nuovo	Risultati non ancora disponibili	2024-02-07
2024-02-10/11	REG33941				Gara non esistente	2024-02-07
2024-02-11	REG34435				Gara non esistente	2024-02-07
2024-02-17	REG34231				Gara non esistente	2024-02-07
2024-02-17	REG34719				Gara non esistente	2024-02-07
2024-02-17	REG33607				Gara non esistente	2024-02-07
2024-02-17	REG34246				Gara non esistente	2024-02-07
2024-02-17	REG34224				Gara non esistente	2024-02-07
2024-02-17	REG33926				Gara non esistente	2024-02-07
2024-02-18	REG34037				Gara non esistente	2024-02-07
2024-02-18	REG33765				Gara non esistente	2024-02-07
2024-02-17/18	REG34247				Gara non esistente	2024-02-07
2024-02-17/18	REG33943				Gara non esistente	2024-02-07
2024-02-18	REG33931				Gara non esistente	2024-02-07
2024-02-18	REG34225				Gara non esistente	2024-02-07
2024-02-18	REG33864				Gara non esistente	2024-02-07
2024-02-17/18	COD11509				Gara non esistente	2024-02-07
2024-02-18	REG33500				Gara non esistente	2024-02-07
2024-02-18	REG33932				Gara non esistente	2024-02-07
2024-02-18	REG33933				Gara non esistente	2024-02-07
2024-02-18	REG33608				Gara non esistente	2024-02-07
2024-02-24	REG34407				Gara non esistente	2024-02-07
2024-02-24	REG33934				Gara non esistente	2024-02-07
2024-02-24	REG34232				Gara non esistente	2024-02-07
2024-02-24	REG34038				Gara non esistente	2024-02-07
2024-02-24	REG33945				Gara non esistente	2024-02-07
2024-02-24	REG34324				Gara non esistente	2024-02-07
2024-02-24	REG34248				Gara non esistente	2024-02-07
2024-02-24/25	REG33810				Gara non esistente	2024-02-07
2024-02-25	REG33946				Gara non esistente	2024-02-07
2024-02-24/25	REG33883				Gara non esistente	2024-02-07
2024-02-25	REG33937				Gara non esistente	2024-02-07
2024-02-24/25	REG33605				Gara non esistente	2024-02-07
2024-02-25	REG34325				Gara non esistente	2024-02-07
2024-02-25	REG33936				Gara non esistente	2024-02-07
2024-02-22/25	COD11512				Gara non esistente	2024-02-07
2024-02-25	REG34255				Gara non esistente	2024-02-07
2024-03-02	REG34226				Gara non esistente	2024-02-07
2024-03-03	REG33887				Gara non esistente	2024-02-07
2024-03-02/03	REG34265				Gara non esistente	2024-02-07
2024-03-03	REG34604				Gara non esistente	2024-02-07
2024-03-03	REG33606				Gara non esistente	2024-02-07
2024-03-01/03	COD11515				Gara non esistente	2024-02-07
2024-03-03	COD11604				Gara non esistente	2024-02-07
2024-03-02/03	COD11516				Gara non esistente	2024-02-07
2024-03-03	REG34039				Gara non esistente	2024-02-07
2024-03-09	REG33501				Gara non esistente	2024-02-07
2024-03-09	REG34720				Gara non esistente	2024-02-07
2024-03-09	REG33950				Gara non esistente	2024-02-07
2024-03-09	REG33948				Gara non esistente	2024-02-07
2024-03-10	REG33831				Gara non esistente	2024-02-07
2024-03-10	REG34605				Gara non esistente	2024-02-07
2024-03-09/10	REG33949				Gara non esistente	2024-02-07
2024-03-13	REG33832				Gara non esistente	2024-02-07
2024-03-17	REG33953				Gara non esistente	2024-02-07
2024-03-17	REG34270				Gara non esistente	2024-02-07
2024-03-23	REG34233				Gara non esistente	2024-02-07
2024-03-16/23	COD11520				Gara non esistente	2024-02-07
