Codice	Home	Risultati	Versione Sigma
REG34144	https://www.fidal.it/risultati/2024/REG34144/Index.htm	https://www.fidal.it/risultati/2024/REG34144/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33658	https://www.fidal.it/risultati/2024/REG33658/Index.htm	https://www.fidal.it/risultati/2024/REG33658/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34024	https://www.fidal.it/risultati/2024/REG34024/Index.htm	https://www.fidal.it/risultati/2024/REG34024/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34024/RESULTSBYEVENT2.htm	Vecchio
REG33671	https://www.fidal.it/risultati/2024/REG33671/Index.htm	https://www.fidal.it/risultati/2024/REG33671/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33659	https://www.fidal.it/risultati/2024/REG33659/Index.htm	https://www.fidal.it/risultati/2024/REG33659/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33673	https://www.fidal.it/risultati/2024/REG33673/Index.htm	https://www.fidal.it/risultati/2024/REG33673/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33660	https://www.fidal.it/risultati/2024/REG33660/Index.htm	https://www.fidal.it/risultati/2024/REG33660/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33674	https://www.fidal.it/risultati/2024/REG33674/Index.htm	https://www.fidal.it/risultati/2024/REG33674/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33675	https://www.fidal.it/risultati/2024/REG33675/Index.htm	https://www.fidal.it/risultati/2024/REG33675/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34025	https://www.fidal.it/risultati/2024/REG34025/Index.htm	https://www.fidal.it/risultati/2024/REG34025/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34025/RESULTSBYEVENT2.htm	Vecchio
REG33997		Gara non esistente	
REG33592	https://www.fidal.it/risultati/2024/REG33592/Index.htm	https://www.fidal.it/risultati/2024/REG33592/Index.htm	Vecchissimo
REG33676	https://www.fidal.it/risultati/2024/REG33676/Index.htm	https://www.fidal.it/risultati/2024/REG33676/RESULTSBYEVENT1.htm	Vecchio
REG33760	https://www.fidal.it/risultati/2024/REG33760/Index.htm	Non ancora disponibili	Nuovo
REG33797	https://www.fidal.it/risultati/2024/REG33797/Index.htm	https://www.fidal.it/risultati/2024/REG33797/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33666	https://www.fidal.it/risultati/2024/REG33666/Index.htm	https://www.fidal.it/risultati/2024/REG33666/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34127	https://www.fidal.it/risultati/2024/REG34127/Index.htm	https://www.fidal.it/risultati/2024/REG34127/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34127/RESULTSBYEVENT2.htm	Vecchio
REG34169	https://www.fidal.it/risultati/2024/REG34169/Index.htm	https://www.fidal.it/risultati/2024/REG34169/RESULTSBYEVENT1.htm	Vecchio
REG34053	https://www.fidal.it/risultati/2024/REG34053/Index.htm	https://www.fidal.it/risultati/2024/REG34053/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34053/RESULTSBYEVENT2.htm	Vecchio
REG33593	https://www.fidal.it/risultati/2024/REG33593/Index.htm	https://www.fidal.it/risultati/2024/REG33593/Index.htm	Vecchissimo
REG33839	https://www.fidal.it/risultati/2024/REG33839/Index.htm	https://www.fidal.it/risultati/2024/REG33839/Risultati/IndexRisultatiPerGara.html	Nuovo
REG33868	https://www.fidal.it/risultati/2024/REG33868/Index.htm	https://www.fidal.it/risultati/2024/REG33868/Risultati/IndexRisultatiPerGara.html	Nuovo
REG34028	https://www.fidal.it/risultati/2024/REG34028/Index.htm	https://www.fidal.it/risultati/2024/REG34028/RESULTSBYEVENT1.htm https://www.fidal.it/risultati/2024/REG34028/RESULTSBYEVENT2.htm	Vecchio
REG33752	https://www.fidal.it/risultati/2024/REG33752/Index.htm	https://www.fidal.it/risultati/2024/REG33752/Index.htm	Vecchissimo
REG33681	https://www.fidal.it/risultati/2024/REG33681/Index.htm	https://www.fidal.it/risultati/2024/REG33681/Risultati/IndexRisultatiPerGara.html	Nuovo
