Prest.,Vento,Atleta,Anno,Società,Città,Data
45.18,,"POLESANA SM,ZANDOMENEGHI PM,VELLO PM,DALLA SEGA JM",,ANA ATL.FELTRE,Bussolengo,06/05/2017
45.19,,"EL AOMARI SM,FERRIGHETTO AM,MANISCALCHI PM,CRESTANI JM",,ANA ATL.FELTRE,Vicenza,19/05/2012
45.19,,"EL AOMARI SM,FERRIGHETTO AM,MANISCALCHI PM,CRESTANI JM",,ANA ATL.FELTRE,Vicenza,19/05/2012
45.29,,"VENDRAME AM,FERRIGHETTO AM,BARBANTE AM,DALLA SEGA AM",,ANA ATL.FELTRE,Abano Terme,12/05/2012
45.29,,"VENDRAME AM,FERRIGHETTO AM,BARBANTE AM,DALLA SEGA AM",,ANA ATL.FELTRE,Abano Terme,12/05/2012
45.41,,"SOPPELSA AM,FERRIGHETTO AM,TREVISAN AM,DALLA SEGA AM",,ANA ATL.FELTRE,Saronno,11/06/2011
45.41,,"SOPPELSA AM,FERRIGHETTO AM,TREVISAN AM,DALLA SEGA AM",,ANA ATL.FELTRE,Saronno,11/06/2011
45.48,,"ZABOT AM,DALLA CORTE AM,BIESUZ AM,MARIN AM",,ANA ATL.FELTRE,Bovolone,29/09/2018
45.48,,"ZABOT AM,DALLA CORTE AM,BIESUZ AM,MARIN AM",,ANA ATL.FELTRE,Bovolone,29/09/2018
45.49,,"EL AOMARI SM,DALLA SEGA AM,FERRIGHETTO AM,MANISCALCHI PM",,ANA ATL.FELTRE,Marcon,14/05/2011
45.49,,"EL AOMARI SM,DALLA SEGA AM,FERRIGHETTO AM,MANISCALCHI PM",,ANA ATL.FELTRE,Marcon,14/05/2011
45.60,,"SOPPELSA AM,FERRIGHETTO AM,TREVISAN AM,DALLA SEGA AM",,ANA ATL.FELTRE,Vicenza,21/05/2011
45.60,,"SOPPELSA AM,FERRIGHETTO AM,TREVISAN AM,DALLA SEGA AM",,ANA ATL.FELTRE,Vicenza,21/05/2011
45.75,,"GURRIERI AM,BENVEGNU' AM,MAHJOUBI AM,SIRAGNA AM",,ANA ATL.FELTRE,Chiari,30/09/2017
45.75,,"GURRIERI AM,BENVEGNU' AM,MAHJOUBI AM,SIRAGNA AM",,ANA ATL.FELTRE,Chiari,30/09/2017
45.6,,FERRIGHETTO I-TONO L-VELLO M-ZANDOMENEGHI M,,ANA ATL.FELTRE,Feltre,13/04/2013
45.6,,FERRIGHETTO I-TONO L-VELLO M-ZANDOMENEGHI M,,ANA ATL.FELTRE,Feltre,13/04/2013
45.98,,"D'AGOSTINI,PARANI,TREVISAN,ZINGALE",,ANA ATL.FELTRE,Rossano Veneto,24/04/2010
45.98,,"D'AGOSTINI,PARANI,TREVISAN,ZINGALE",,ANA ATL.FELTRE,Rossano Veneto,24/04/2010
46.20,,"BENVEGNU' AM,MAHJOUBI AM,ZUGLIAN AM,SIRAGNA AM",,ANA ATL.FELTRE,Jesolo,16/09/2017
46.20,,"BENVEGNU' AM,MAHJOUBI AM,ZUGLIAN AM,SIRAGNA AM",,ANA ATL.FELTRE,Jesolo,16/09/2017
46.24,,"ZINGALE,D'AGOSTINI,DA COL,CRESTANI",,ANA ATL.FELTRE,Mestre,08/05/2010
46.24,,"ZINGALE,D'AGOSTINI,DA COL,CRESTANI",,ANA ATL.FELTRE,Mestre,08/05/2010
46.78,,"TAMBURLIN AM,VELLO AM,BERTON AM,ZANDOMENEGHI AM",,ANA ATL.FELTRE,Montebelluna,04/05/2013
46.78,,"TAMBURLIN AM,VELLO AM,BERTON AM,ZANDOMENEGHI AM",,ANA ATL.FELTRE,Montebelluna,04/05/2013
46.9,,FANTINO-CANOVA-BIZARRINI-MANISCALCHI,,ANA ATL.FELTRE,Belluno,20/10/2007
46.9,,FANTINO-CANOVA-BIZARRINI-MANISCALCHI,,ANA ATL.FELTRE,Belluno,20/10/2007
48.00,,"ZAPPIA AM,VOICU AM,PHUSRIRIT AM,ZABOT AM",,ANA ATL.FELTRE,Trento,04/10/2014
48.00,,"ZAPPIA AM,VOICU AM,PHUSRIRIT AM,ZABOT AM",,ANA ATL.FELTRE,Trento,04/10/2014
50.59,,"AGOSTINETTO AM,CORSO AM,DA RIN DE MONEGO AM,LUCA AM",,ANA ATL.FELTRE,Rosa,17/09/2016
50.59,,"AGOSTINETTO AM,CORSO AM,DA RIN DE MONEGO AM,LUCA AM",,ANA ATL.FELTRE,Rosa,17/09/2016
51.10,,"CASSOL AM,ZABOT AM,PHUSRIRIT AM,CASSOL AM",,ANA ATL.FELTRE,Aquila,03/10/2015
51.10,,"CASSOL AM,ZABOT AM,PHUSRIRIT AM,CASSOL AM",,ANA ATL.FELTRE,Aquila,03/10/2015
