Data	Codice	Home	Risultati	Versione Sigma	Status	Ultimo Aggiornamento
2015-01-08	REG7815	https://www.fidal.it/risultati/2015/REG7815/Index.htm	https://www.fidal.it/risultati/2015/REG7815/Index.htm	Vecchissimo	ok	2024-02-12
2015-01-10	REG7808	https://www.fidal.it/risultati/2015/REG7808/Index.htm	https://www.fidal.it/risultati/2015/REG7808/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-12
2015-01-11	REG7926	https://www.fidal.it/risultati/2015/REG7926/Index.htm	https://www.fidal.it/risultati/2015/REG7926/Index.htm	Vecchissimo	ok	2024-02-12
2015-01-11	REG7720	https://www.fidal.it/risultati/2015/REG7720/Index.htm	https://www.fidal.it/risultati/2015/REG7720/Index.htm	Vecchissimo	ok	2024-02-12
2015-01-11	REG7721	https://www.fidal.it/risultati/2015/REG7721/Index.htm	https://www.fidal.it/risultati/2015/REG7721/Index.htm	Vecchissimo	ok	2024-02-12
2015-01-11	REG7809	https://www.fidal.it/risultati/2015/REG7809/Index.htm	https://www.fidal.it/risultati/2015/REG7809/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-12
2015-01-11	COD5080				Gara non esistente	2024-02-12
2015-01-11	REG7810	https://www.fidal.it/risultati/2015/REG7810/Index.htm	https://www.fidal.it/risultati/2015/REG7810/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-12
2015-01-11	REG7817	https://www.fidal.it/risultati/2015/REG7817/Index.htm	https://www.fidal.it/risultati/2015/REG7817/Index.htm	Vecchissimo	ok	2024-02-12
2015-01-11	REG7861	https://www.fidal.it/risultati/2015/REG7861/Index.htm	https://www.fidal.it/risultati/2015/REG7861/Index.htm	Vecchissimo	ok	2024-02-12
2015-01-11	REG7782	https://www.fidal.it/risultati/2015/REG7782/Index.htm	https://www.fidal.it/risultati/2015/REG7782/Index.htm	Vecchissimo	ok	2024-02-12
2015-01-14	REG7819	https://www.fidal.it/risultati/2015/REG7819/Index.htm	https://www.fidal.it/risultati/2015/REG7819/Index.htm	Vecchissimo	ok	2024-02-12
2015-01-17	REG7723	https://www.fidal.it/risultati/2015/REG7723/Index.htm	https://www.fidal.it/risultati/2015/REG7723/Index.htm	Vecchissimo	ok	2024-02-12
2015-01-17	REG7820	https://www.fidal.it/risultati/2015/REG7820/Index.htm	https://www.fidal.it/risultati/2015/REG7820/Index.htm	Vecchissimo	ok	2024-02-12
2015-01-17	REG7811	https://www.fidal.it/risultati/2015/REG7811/Index.htm	https://www.fidal.it/risultati/2015/REG7811/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-12
