Codice,Versione Sigma,Warning,Disciplina,Nome,Link
REG4246,Vecchio,,200m,200 metri UOMINI,https://www.fidal.it/risultati/2013/REG4246/Gara004.htm
REG4246,Vecchio,,800m,800 metri UOMINI,https://www.fidal.it/risultati/2013/REG4246/Gara008.htm
REG4246,Vecchio,,60 Hs h106,60 Hs H 106 UOMINI,https://www.fidal.it/risultati/2013/REG4246/Gara020.htm
REG4246,Vecchio,,60 Hs h100,60 Hs H 100 JUNIORES UOMINI,https://www.fidal.it/risultati/2013/REG4246/Gara021.htm
REG4246,Vecchio,,60 Hs h91,60 Hs H 91-9.14 ALLIEVI,https://www.fidal.it/risultati/2013/REG4246/Gara022.htm
REG4246,Vecchio,,200m,200 metri DONNE,https://www.fidal.it/risultati/2013/REG4246/Gara104.htm
REG4246,Vecchio,,800m,800 metri DONNE,https://www.fidal.it/risultati/2013/REG4246/Gara108.htm
REG4246,Vecchio,,60 Hs h84,60 Hs H 84-8.50 DONNE,https://www.fidal.it/risultati/2013/REG4246/Gara120.htm
REG4246,Vecchio,,60 Hs h76,60 Hs H 76-8.50 ALLIEVE,https://www.fidal.it/risultati/2013/REG4246/Gara121.htm
REG4246,Vecchio,,Salto con l'asta,Salto con l'asta/PV UOMINI,https://www.fidal.it/risultati/2013/REG4246/Gara027.htm
REG4246,Vecchio,,Salto triplo,Salto triplo/TJ UOMINI,https://www.fidal.it/risultati/2013/REG4246/Gara029.htm
REG4246,Vecchio,,Salto in alto,Salto in alto/HJ DONNE,https://www.fidal.it/risultati/2013/REG4246/Gara126.htm
REG4246,Vecchio,,Salto in lungo,Salto in lungo/LJ DONNE,https://www.fidal.it/risultati/2013/REG4246/Gara128.htm
REG4380,Vecchio,,60m,60 piani UOMINI,https://www.fidal.it/risultati/2013/REG4380/Gara001.htm
REG4380,Vecchio,,400m,400 metri UOMINI,https://www.fidal.it/risultati/2013/REG4380/Gara006.htm
REG4380,Vecchio,,1000m,1000 metri UOMINI,https://www.fidal.it/risultati/2013/REG4380/Gara009.htm
REG4380,Vecchio,,60m,60 piani DONNE,https://www.fidal.it/risultati/2013/REG4380/Gara101.htm
REG4380,Vecchio,,400m,400 metri DONNE,https://www.fidal.it/risultati/2013/REG4380/Gara106.htm
REG4380,Vecchio,,1000m,1000 metri DONNE,https://www.fidal.it/risultati/2013/REG4380/Gara109.htm
REG4380,Vecchio,,Salto in alto,Salto in alto/HJ UOMINI,https://www.fidal.it/risultati/2013/REG4380/Gara026.htm
REG4380,Vecchio,,Salto in lungo,Salto in lungo/LJ UOMINI,https://www.fidal.it/risultati/2013/REG4380/Gara028.htm
REG4380,Vecchio,,Salto con l'asta,Salto con l'asta/PV DONNE,https://www.fidal.it/risultati/2013/REG4380/Gara127.htm
REG4380,Vecchio,,Salto triplo,Salto triplo/TJ DONNE,https://www.fidal.it/risultati/2013/REG4380/Gara129.htm
REG4381,Vecchio,,60m,60 piani UOMINI,https://www.fidal.it/risultati/2013/REG4381/Gara001.htm
REG4381,Vecchio,,400m,400 metri UOMINI,https://www.fidal.it/risultati/2013/REG4381/Gara006.htm
REG4381,Vecchio,,1000m,1000 metri UOMINI,https://www.fidal.it/risultati/2013/REG4381/Gara009.htm
REG4381,Vecchio,,60m,60 piani DONNE,https://www.fidal.it/risultati/2013/REG4381/Gara101.htm
REG4381,Vecchio,,400m,400 metri DONNE,https://www.fidal.it/risultati/2013/REG4381/Gara106.htm
REG4381,Vecchio,,1000m,1000 metri DONNE,https://www.fidal.it/risultati/2013/REG4381/Gara109.htm
REG4381,Vecchio,,Salto in lungo,Salto in lungo/LJ UOMINI,https://www.fidal.it/risultati/2013/REG4381/Gara028.htm
REG4381,Vecchio,,Salto triplo,Salto triplo/TJ DONNE,https://www.fidal.it/risultati/2013/REG4381/Gara129.htm
REG4381,Vecchio,,Peso 7.260Kg,Peso/SP Kg 7.260 UOMINI,https://www.fidal.it/risultati/2013/REG4381/Gara031.htm
REG4381,Vecchio,,Peso 6.000Kg,Peso/SP Kg 6.000 JUNIORES UOMINI,https://www.fidal.it/risultati/2013/REG4381/Gara032.htm
REG4381,Vecchio,,Peso 5.000Kg,Peso/SP Kg 5.000 ALLIEVI,https://www.fidal.it/risultati/2013/REG4381/Gara033.htm
REG4381,Vecchio,,Peso 4.000Kg,Peso/SP Kg 4.000 DONNE,https://www.fidal.it/risultati/2013/REG4381/Gara131.htm
REG4381,Vecchio,,Peso 3.000Kg,Peso/SP Kg 3.000 ALLIEVE,https://www.fidal.it/risultati/2013/REG4381/Gara132.htm
REG4384,Vecchio,,200m,200 metri UOMINI,https://www.fidal.it/risultati/2013/REG4384/Gara004.htm
REG4384,Vecchio,,800m,800 metri UOMINI,https://www.fidal.it/risultati/2013/REG4384/Gara008.htm
REG4384,Vecchio,,60 Hs h91,60 Hs H 91-9.14 ALLIEVI,https://www.fidal.it/risultati/2013/REG4384/Gara018.htm
REG4384,Vecchio,,60 Hs h100,60 Hs H 100 JUNIORES UOMINI,https://www.fidal.it/risultati/2013/REG4384/Gara019.htm
REG4384,Vecchio,,60 Hs h106,60 Hs H 106 UOMINI,https://www.fidal.it/risultati/2013/REG4384/Gara020.htm
REG4384,Vecchio,,200m,200 metri DONNE,https://www.fidal.it/risultati/2013/REG4384/Gara104.htm
REG4384,Vecchio,,60 Hs h76,60 Hs H 76-8.50 ALLIEVE,https://www.fidal.it/risultati/2013/REG4384/Gara119.htm
REG4384,Vecchio,,60 Hs h84,60 Hs H 84-8.50 DONNE,https://www.fidal.it/risultati/2013/REG4384/Gara120.htm
REG4384,Vecchio,,60m,60 piani EPTATHLON UOMINI,https://www.fidal.it/risultati/2013/REG4384/Gara201.htm
REG4384,Vecchio,,60 Hs h106,60 Hs H 106 EPTATHLON UOMINI,https://www.fidal.it/risultati/2013/REG4384/Gara205.htm
REG4384,Vecchio,,1000m,1000 metri EPTATHLON UOMINI,https://www.fidal.it/risultati/2013/REG4384/Gara207.htm
REG4384,Vecchio,,60m,60 piani EPTATHLON JUNIORES JM,https://www.fidal.it/risultati/2013/REG4384/Gara301.htm
REG4384,Vecchio,,60 Hs h100,60 Hs H 100 EPTATHLON JUNIORES JM,https://www.fidal.it/risultati/2013/REG4384/Gara305.htm
