Prest.,Vento,Atleta,Anno,Società,Città,Data
35.66,,MARRONE Sebastiano,96,ANA ATL.FELTRE,Vicenza,20/05/2012
39.14,,MARRONE Sebastiano,96,ANA ATL.FELTRE,Marcon,12/05/2013
14.18,,DE MARTINI Alessandro,97,ANA ATL.FELTRE,Agordo,22/05/2016
48.85,,QUINTARELLI Marco,73,ANA ATL.FELTRE,Vicenza,02/06/2019
43.74,,QUINTARELLI Marco,73,ANA ATL.FELTRE,San Biagio Di Callalta,20/07/2019
21.95,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,Trento,12/10/2019
35.66,,MARRONE Sebastiano,96,ANA ATL.FELTRE,Vicenza,20/05/2012
39.14,,MARRONE Sebastiano,96,ANA ATL.FELTRE,Marcon,12/05/2013
14.18,,DE MARTINI Alessandro,97,ANA ATL.FELTRE,Agordo,22/05/2016
48.85,,QUINTARELLI Marco,73,ANA ATL.FELTRE,Vicenza,02/06/2019
43.74,,QUINTARELLI Marco,73,ANA ATL.FELTRE,San Biagio Di Callalta,20/07/2019
21.95,,DOGLIONI Giorgio,96,ANA ATL.FELTRE,Trento,12/10/2019
