Prestazione,Atleta,Cat.,Anno,Società,Disciplina,Gara
9.31,MORIGI Lorenzo,SM,2000.0,BO506 A.S.D. PONTEVECCHIO BOLOGNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
9.37,MARCONE Andrea,PM,2004.0,NA061 A.S.D. C.U.S. NAPOLI,60Hs H106,https://www.fidal.it/risultati/2024/REG34127/Gara020.htm
9.39,MAGGIONI Giacomo,SM,2001.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
9.4,AVANZINI Giacomo,SM,2001.0,PR068 C.U.S. PARMA,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
9.42,PERUCH Filippo,PM,2003.0,TV409 VITTORIO ATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
9.49,RICCI Gabriele,PM,2004.0,BO014 ATL. IMOLA SACMI AVIS,60Hs H106,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
9.51,COSTOSI Lorenzo,SM,1999.0,RE105 G.S.SELF ATL. MONTANARI GRUZZA,60Hs H106,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
9.73,FINCO Andrea,PM,2003.0,VI626 ATL.VICENTINA,60Hs H106,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
9.87,BUCCI Paolo,PM,2002.0,SI361 ATLETICA 2005,60Hs H106,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
10.03,SHENELENKO Onysym,SM,1994.0,PE001 ASD U.S. ATERNO PESCARA,60Hs H106,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
10.11,RIBERI Alberto,SM,1999.0,CN001 A.S.D. ATL. FOSSANO '75,60Hs H106,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
10.18,APARO Paolo,PM,2003.0,SR248 SIRACUSATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
10.87,DE SANTIS CAPITANIO Cri,PM,2004.0,FR256 CUS CASSINO,60Hs H106,https://www.fidal.it/risultati/2024/REG33797/Risultati/Gara722.html
11.57,MATTONE Andrea,SM,1995.0,NO020 TEAM ATLETICO-MERCURIO NOVARA,60Hs H106,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
12.62,BAITELLI Raffaello,SM55,1967.0,BG511 ATL. VALLE IMAGNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33697/Risultati/Gara055.html
