Prest.,Atleta,Anno,Società,Città,Data
10:42.42,VENZO Erica,94,ATLETICA MOGLIANO,Padova,25/01/2014
10:47.24,ROSINI Paola,77,ATL. BEDIZZOLE,Ancona,07/03/2014
10:47.29,ILARI Azzurra,98,ATL.AMAT.OSIMO,Ancona,05/02/2014
10:47.63,LUNA Silvia,78,GROTTINI TEAM,Ancona,25/01/2014
10:49.35,AFFORTUNATI Sabrina,96,ASSI GIGLIO ROSSO FIRENZE,Firenze,18/02/2014
10:50.94,MARONGIU Sonia,74,GS VALSUGANA TRENTINO,Padova,25/01/2014
10:57.09,PRINA Silvia,72,ATL. AMBROSIANA,Ancona,07/03/2014
10:57.64,MAZZONE Valeria,73,ACQUADELA BOLOGNA,Ancona,07/03/2014
10:57.73,ILARI Azzurra,98,ATL.AMAT.OSIMO,Ancona,25/01/2014
11:00.48,PAGLIACCI Lorella,68,TIRRENO ATLETICA CIVITAVECCHIA,Budapest,27/03/2014
11:01.90,PIGOLOTTI Gaia,93,N. ATL. VARESE,Ancona,09/02/2014
11:05.50,SALARDI Laura,86,ATL. BRESCIA 1950,Padova,18/01/2014
11:06.65,SERRA Eleonora,73,ATLETICA VARAZZE,Ancona,07/03/2014
11:07.27,AVIGO Laura,67,ATLETICA LONATO-LEM ITALIA,Padova,18/01/2014
11:09.90,AVIGO Laura,67,ATLETICA LONATO-LEM ITALIA,Ancona,07/03/2014
11:12.91,SERRA Eleonora,73,ATLETICA VARAZZE,Genova,15/02/2014
11:14.24,DI TILLO Paola,77,GRUPPO SPORTIVO VIRTUS,Ancona,07/03/2014
11:16.85,BARONE Francesca,58,AMATORI ATL. CASORATE S.,Budapest,27/03/2014
11:17.15,CINCA Elena,70,ATLETICA BRUGNERA FRIULINTAGLI,Ancona,07/03/2014
11:17.19,FABBRI Arianna,98,ATLETICA FIRENZE MARATHON S.S.,Firenze,18/02/2014
11:19.32,CIAMPA Antonella,76,ASD APULIATHLETICA,Ancona,07/03/2014
11:20.01,PASTORELLI Francesca,93,C.U.S. PARMA,Parma,25/01/2014
