Codice,Versione Sigma,Warning,Disciplina,Nome,Link
REG9874,Vecchio,,60m,60 piani UOMINI,https://www.fidal.it/risultati/2016/REG9874/Gara001.htm
REG9874,Vecchio,,400m,400 metri UOMINI,https://www.fidal.it/risultati/2016/REG9874/Gara006.htm
REG9874,Vecchio,,1000m,1000 metri UOMINI,https://www.fidal.it/risultati/2016/REG9874/Gara009.htm
REG9874,Vecchio,,60m,60 piani DONNE,https://www.fidal.it/risultati/2016/REG9874/Gara101.htm
REG9874,Vecchio,,400m,400 metri DONNE,https://www.fidal.it/risultati/2016/REG9874/Gara106.htm
REG9874,Vecchio,,1000m,1000 metri DONNE,https://www.fidal.it/risultati/2016/REG9874/Gara109.htm
REG9874,Vecchio,,60 Hs h91,60 Hs H 91-9.14 PENTATHLON INDOOR AM,https://www.fidal.it/risultati/2016/REG9874/Gara501.htm
REG9874,Vecchio,,1000m,1000 metri PENTATHLON INDOOR AM,https://www.fidal.it/risultati/2016/REG9874/Gara505.htm
REG9874,Vecchio,,Salto in alto,Salto in alto/HJ UOMINI,https://www.fidal.it/risultati/2016/REG9874/Gara026.htm
REG9874,Vecchio,,Salto in lungo,Salto in lungo/LJ UOMINI,https://www.fidal.it/risultati/2016/REG9874/Gara028.htm
REG9874,Vecchio,,Salto triplo,Salto triplo/TJ DONNE,https://www.fidal.it/risultati/2016/REG9874/Gara129.htm
REG9874,Vecchio,,Salto in lungo,Salto in lungo/LJ PENTATHLON INDOOR AM,https://www.fidal.it/risultati/2016/REG9874/Gara502.htm
REG9874,Vecchio,,Salto in alto,Salto in alto/HJ PENTATHLON INDOOR AM,https://www.fidal.it/risultati/2016/REG9874/Gara504.htm
REG9874,Vecchio,,Peso 5.000Kg,Peso/SP Kg 5.000 ALLIEVI,https://www.fidal.it/risultati/2016/REG9874/Gara031.htm
REG9874,Vecchio,,Peso 7.260Kg,Peso/SP Kg 7.260 UOMINI,https://www.fidal.it/risultati/2016/REG9874/Gara033.htm
REG9874,Vecchio,,Peso 3.000Kg,Peso/SP Kg 3.000 ALLIEVE,https://www.fidal.it/risultati/2016/REG9874/Gara131.htm
REG9874,Vecchio,,Peso 4.000Kg,Peso/SP Kg 4.000 DONNE,https://www.fidal.it/risultati/2016/REG9874/Gara132.htm
REG9874,Vecchio,,Peso 5.000Kg,Peso/SP Kg 5.000 PENTATHLON INDOOR AM,https://www.fidal.it/risultati/2016/REG9874/Gara503.htm
REG9881,Vecchio,,400m,400 metri PENTATHLON INDOOR ALLIEVE,https://www.fidal.it/risultati/2016/REG9881/Gara001.htm
REG9881,Vecchio,,60 Hs h76,60 Hs H 76 PENTATHLON INDOOR ALLIEVE,https://www.fidal.it/risultati/2016/REG9881/Gara002.htm
REG9881,Vecchio,,1000m,1000 metri PENTATHLON INDOOR ALLIEVI,https://www.fidal.it/risultati/2016/REG9881/Gara006.htm
REG9881,Vecchio,,60 Hs h91,60 Hs H 91 PENTATHLON INDOOR ALLIEVI,https://www.fidal.it/risultati/2016/REG9881/Gara007.htm
REG9881,Vecchio,,60m,60 piani EPTATHLON INDOOR UOMINI,https://www.fidal.it/risultati/2016/REG9881/Gara011.htm
REG9881,Vecchio,,1000m,1000 metri EPTATHLON INDOOR UOMINI,https://www.fidal.it/risultati/2016/REG9881/Gara012.htm
REG9881,Vecchio,,60 Hs h106,60 Hs H 106 EPTATHLON INDOOR UOMINI,https://www.fidal.it/risultati/2016/REG9881/Gara013.htm
REG9881,Vecchio,,60m,60 piani EPTATHLON INDOOR JUNIOR M.,https://www.fidal.it/risultati/2016/REG9881/Gara018.htm
REG9881,Vecchio,,1000m,1000metri EPTATHLON INDOOR JUNIOR M.,https://www.fidal.it/risultati/2016/REG9881/Gara019.htm
REG9881,Vecchio,,60 Hs h100,60 Hs EPTATHLON INDOOR JUNIOR M.,https://www.fidal.it/risultati/2016/REG9881/Gara020.htm
REG9881,Vecchio,,800m,800 metri PENTATHLON INDOOR DONNE,https://www.fidal.it/risultati/2016/REG9881/Gara025.htm
REG9881,Vecchio,,60 Hs h84,60 Hs H 84 PENTATHLON INDOOR DONNE,https://www.fidal.it/risultati/2016/REG9881/Gara026.htm
REG9881,Vecchio,,60m,60 piani DONNE,https://www.fidal.it/risultati/2016/REG9881/Gara101.htm
REG9881,Vecchio,,200m,200 metri DONNE,https://www.fidal.it/risultati/2016/REG9881/Gara104.htm
REG9881,Vecchio,,400m,400 metri DONNE,https://www.fidal.it/risultati/2016/REG9881/Gara106.htm
REG9881,Vecchio,,800m,800 metri DONNE,https://www.fidal.it/risultati/2016/REG9881/Gara108.htm
REG9881,Vecchio,,1500m,1500 metri DONNE,https://www.fidal.it/risultati/2016/REG9881/Gara111.htm
REG9881,Vecchio,,60 Hs h76,60 Hs H 76 ALLIEVE,https://www.fidal.it/risultati/2016/REG9881/Gara119.htm
REG9881,Vecchio,,60 Hs h84,60 Hs H 84 DONNE,https://www.fidal.it/risultati/2016/REG9881/Gara120.htm
REG9881,Vecchio,,60m,60 piani UOMINI,https://www.fidal.it/risultati/2016/REG9881/Gara201.htm
REG9881,Vecchio,,200m,200 metri UOMINI,https://www.fidal.it/risultati/2016/REG9881/Gara204.htm
REG9881,Vecchio,,400m,400 metri UOMINI,https://www.fidal.it/risultati/2016/REG9881/Gara206.htm
REG9881,Vecchio,,800m,800 metri UOMINI,https://www.fidal.it/risultati/2016/REG9881/Gara208.htm
REG9881,Vecchio,,1500m,1500 metri UOMINI,https://www.fidal.it/risultati/2016/REG9881/Gara211.htm
REG9881,Vecchio,,60 Hs h91,60 Hs H 91 ALLIEVI,https://www.fidal.it/risultati/2016/REG9881/Gara217.htm
REG9881,Vecchio,,60 Hs h100,60 Hs H 100 JUNIOR UOMINI,https://www.fidal.it/risultati/2016/REG9881/Gara218.htm
REG9881,Vecchio,,60 Hs h106,60 Hs H 106 UOMINI,https://www.fidal.it/risultati/2016/REG9881/Gara219.htm
REG9881,Vecchio,,Salto in alto,Salto in alto PENTATHLON INDOOR ALLIEVE,https://www.fidal.it/risultati/2016/REG9881/Gara003.htm
REG9881,Vecchio,,Salto in lungo,Salto in lungo PENTATHLON INDOOR ALLIEVE,https://www.fidal.it/risultati/2016/REG9881/Gara004.htm
REG9881,Vecchio,,Salto in alto,Salto in alto PENTATHLON INDOOR ALLIEVI,https://www.fidal.it/risultati/2016/REG9881/Gara008.htm
