Data	Codice	Home	Risultati	Versione Sigma	Status	Ultimo Aggiornamento
2018-03-03	REG16559	https://www.fidal.it/risultati/2018/REG16559/Index.htm	https://www.fidal.it/risultati/2018/REG16559/Index.htm	Vecchissimo	ok	2024-02-10
2018-03-03	REG16539	https://www.fidal.it/risultati/2018/REG16539/Index.htm	https://www.fidal.it/risultati/2018/REG16539/Index.htm	Vecchissimo	ok	2024-02-10
2018-03-03	REG16206	https://www.fidal.it/risultati/2018/REG16206/Index.htm	https://www.fidal.it/risultati/2018/REG16206/Index.htm	Vecchissimo	ok	2024-02-10
2018-03-03	REG16687				Gara non esistente	2024-02-10
2018-03-04	REG16084	https://www.fidal.it/risultati/2018/REG16084/Index.htm	https://www.fidal.it/risultati/2018/REG16084/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-10
2018-03-04	REG16487	https://www.fidal.it/risultati/2018/REG16487/Index.htm	https://www.fidal.it/risultati/2018/REG16487/Index.htm	Vecchissimo	ok	2024-02-10
2018-03-04	REG15859	https://www.fidal.it/risultati/2018/REG15859/Index.htm	https://www.fidal.it/risultati/2018/REG15859/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-03-04	COD6592				Gara non esistente	2024-02-10
2018-03-07	REG16611	https://www.fidal.it/risultati/2018/REG16611/Index.htm	https://www.fidal.it/risultati/2018/REG16611/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-03-10	COD7142				Gara non esistente	2024-02-10
2018-03-10	REG16290	https://www.fidal.it/risultati/2018/REG16290/Index.htm	https://www.fidal.it/risultati/2018/REG16290/Index.htm	Vecchissimo	ok	2024-02-10
2018-03-10	REG16625				Gara non esistente	2024-02-10
2018-03-11	REG15861	https://www.fidal.it/risultati/2018/REG15861/Index.htm	https://www.fidal.it/risultati/2018/REG15861/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-03-11	REG16400	https://www.fidal.it/risultati/2018/REG16400/Index.htm	https://www.fidal.it/risultati/2018/REG16400/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-03-11	REG16046	https://www.fidal.it/risultati/2018/REG16046/Index.htm	https://www.fidal.it/risultati/2018/REG16046/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-03-11	REG15912	https://www.fidal.it/risultati/2018/REG15912/Index.htm	https://www.fidal.it/risultati/2018/REG15912/Index.htm	Vecchissimo	ok	2024-02-10
2018-03-11	REG16712	https://www.fidal.it/risultati/2018/REG16712/Index.htm	https://www.fidal.it/risultati/2018/REG16712/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-03-14	REG16650	https://www.fidal.it/risultati/2018/REG16650/Index.htm	https://www.fidal.it/risultati/2018/REG16650/Index.htm	Vecchissimo	ok	2024-02-10
2018-03-15	REG16485	https://www.fidal.it/risultati/2018/REG16485/Index.htm	https://www.fidal.it/risultati/2018/REG16485/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-03-18	REG15863	https://www.fidal.it/risultati/2018/REG15863/Index.htm	https://www.fidal.it/risultati/2018/REG15863/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-10
2018-03-24	COD6598				Gara non esistente	2024-02-10
2018-04-29	REG17654	https://www.fidal.it/risultati/2018/REG17654/Index.htm	https://www.fidal.it/risultati/2018/REG17654/Index.htm	Vecchissimo	ok	2024-02-10
2018-05-13	REG17145	https://www.fidal.it/risultati/2018/REG17145/Index.htm	https://www.fidal.it/risultati/2018/REG17145/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-10
2018-11-17	REG16291	https://www.fidal.it/risultati/2018/REG16291/Index.htm	https://www.fidal.it/risultati/2018/REG16291/Index.htm	Vecchissimo	ok	2024-02-10
2018-11-18	REG19132				Gara non esistente	2024-02-10
2018-11-24	REG19076	https://www.fidal.it/risultati/2018/REG19076/Index.htm	https://www.fidal.it/risultati/2018/REG19076/Index.htm	Vecchissimo	ok	2024-02-10
2018-11-25	REG19118				Gara non esistente	2024-02-10
2018-12-09	REG19085	https://www.fidal.it/risultati/2018/REG19085/Index.htm	https://www.fidal.it/risultati/2018/REG19085/Index.htm	Vecchissimo	ok	2024-02-10
2018-12-15	REG19241	https://www.fidal.it/risultati/2018/REG19241/Index.htm	https://www.fidal.it/risultati/2018/REG19241/Index.htm	Vecchissimo	ok	2024-02-10
2018-12-15	REG19084	https://www.fidal.it/risultati/2018/REG19084/Index.htm	https://www.fidal.it/risultati/2018/REG19084/Index.htm	Vecchissimo	ok	2024-02-10
2018-12-15	REG16292	https://www.fidal.it/risultati/2018/REG16292/Index.htm	https://www.fidal.it/risultati/2018/REG16292/Index.htm	Vecchissimo	ok	2024-02-10
2018-12-16	REG19064	https://www.fidal.it/risultati/2018/REG19064/Index.htm	https://www.fidal.it/risultati/2018/REG19064/Index.htm	Vecchissimo	ok	2024-02-10
2018-12-17	REG19459	https://www.fidal.it/risultati/2018/REG19459/Index.htm	https://www.fidal.it/risultati/2018/REG19459/Index.htm	Vecchissimo	ok	2024-02-10
2018-12-21	REG19373	https://www.fidal.it/risultati/2018/REG19373/Index.htm	https://www.fidal.it/risultati/2018/REG19373/Index.htm	Vecchissimo	ok	2024-02-10
2018-12-22	REG19156	https://www.fidal.it/risultati/2018/REG19156/Index.htm	https://www.fidal.it/risultati/2018/REG19156/Index.htm	Vecchissimo	ok	2024-02-10
