Codice,Versione Sigma,Disciplina,Nome,Link
REG22556,Vecchio,60m,60 piani  DONNE,https://www.fidal.it/risultati/2020/REG22556/Gara101.htm
REG22556,Vecchio,3000m,3000 metri  DONNE,https://www.fidal.it/risultati/2020/REG22556/Gara113.htm
REG22556,Vecchio,60 Hs h76-8.50,60 Hs H 76  ALLIEVE,https://www.fidal.it/risultati/2020/REG22556/Gara121.htm
REG22556,Vecchio,60 Hs h84-8.50,60 Hs H 84  DONNE,https://www.fidal.it/risultati/2020/REG22556/Gara122.htm
REG22556,Vecchio,60m,60 piani  UOMINI,https://www.fidal.it/risultati/2020/REG22556/Gara201.htm
REG22556,Vecchio,3000m,3000 metri  UOMINI,https://www.fidal.it/risultati/2020/REG22556/Gara213.htm
REG22556,Vecchio,60 Hs h91-9.14,60 Hs H 91  ALLIEVI,https://www.fidal.it/risultati/2020/REG22556/Gara221.htm
REG22556,Vecchio,60 Hs h100-9.14,60 Hs H 100  JUNIOR UOMINI,https://www.fidal.it/risultati/2020/REG22556/Gara222.htm
REG22556,Vecchio,60 Hs h106-9.14,60 Hs H 106  UOMINI,https://www.fidal.it/risultati/2020/REG22556/Gara223.htm
REG22556,Vecchio,60m,60 piani  DONNE,https://www.fidal.it/risultati/2020/REG22556/Gara101.htm
REG22556,Vecchio,3000m,3000 metri  DONNE,https://www.fidal.it/risultati/2020/REG22556/Gara113.htm
REG22556,Vecchio,60 Hs h76-8.50,60 Hs H 76  ALLIEVE,https://www.fidal.it/risultati/2020/REG22556/Gara121.htm
REG22556,Vecchio,60 Hs h84-8.50,60 Hs H 84  DONNE,https://www.fidal.it/risultati/2020/REG22556/Gara122.htm
REG22556,Vecchio,60m,60 piani  UOMINI,https://www.fidal.it/risultati/2020/REG22556/Gara201.htm
REG22556,Vecchio,3000m,3000 metri  UOMINI,https://www.fidal.it/risultati/2020/REG22556/Gara213.htm
REG22556,Vecchio,60 Hs h91-9.14,60 Hs H 91  ALLIEVI,https://www.fidal.it/risultati/2020/REG22556/Gara221.htm
REG22556,Vecchio,60 Hs h100-9.14,60 Hs H 100  JUNIOR UOMINI,https://www.fidal.it/risultati/2020/REG22556/Gara222.htm
