Prest.,Vento,Atleta,Anno,Società,Città,Data
24.27,+1.2,DALLO Francesca,90,ANA ATL.FELTRE,Bressanone,04/06/2006
25.30,+0.9,BOTTEGA Samantha,94,ANA ATL.FELTRE,Rovigo,07/06/2015
26.03,+0.0,SCOPEL Gioia,02,ANA ATL.FELTRE,Vicenza,02/06/2019
26.37,+0.7,SCHENAL Anna,04,ANA ATL.FELTRE,Treviso,18/04/2021
26.76,+0.5,BARP Anna asia,04,ANA ATL.FELTRE,Vicenza,15/05/2021
26.96,+1.0,CURIC Tea,95,ANA ATL.FELTRE,Vicenza,27/05/2012
26.9,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,Arzignano,22/05/2005
27.36,-1.2,DALLA SANTA Angela,99,ANA ATL.FELTRE,Caorle,06/05/2018
27.60,+3.1,ZAETTA Chiara,92,ANA ATL.FELTRE,Trento,28/05/2009
27.61,+0.2,CASSOL Anita,05,ANA ATL.FELTRE,Lana,23/04/2022
27.85,-0.9,RENTO Ilaria,01,ANA ATL.FELTRE,Treviso,18/04/2021
27.97,+0.5,DE CARLI Alessandra,01,ANA ATL.FELTRE,Trento,03/06/2018
28.11,+0.6,CRIVELLER Ilaria,95,ANA ATL.FELTRE,Vicenza,20/05/2012
28.30,-2.2,COLUSSI Ilary,06,ANA ATL.FELTRE,Feltre,08/06/2022
28.38,+1.9,ZABOT Alice,98,ANA ATL.FELTRE,Rovigo,07/06/2015
28.44,-1.5,DE PAOLI Camilla,05,ANA ATL.FELTRE,San Biagio Di Callalta,03/07/2021
28.64,+0.2,MAHJOUBI Gaia,04,ANA ATL.FELTRE,Treviso,18/04/2021
28.65,+0.2,SPADA Silvia,95,ANA ATL.FELTRE,Bassano Del Grappa,18/09/2011
28.68,+0.6,COMIOTTO Giada,06,ANA ATL.FELTRE,Borgo Valbelluna,07/05/2023
28.5,,FACCHIN Alessia,93,ANA ATL.FELTRE,Belluno,02/10/2010
28.77,+0.4,DALLA BALLA Marta,97,ANA ATL.FELTRE,Vicenza,19/05/2013
28.85,-0.9,FRADA Sarah ludovica,06,ANA ATL.FELTRE,Feltre,08/06/2022
29.01,+0.0,ZATTA Vanessa,01,ANA ATL.FELTRE,Vicenza,16/09/2018
29.09,+0.4,DE BARBA Elena,04,ANA ATL.FELTRE,Vicenza,15/05/2021
29.22,+0.0,SPADA Anna,07,ANA ATL.FELTRE,Borgo Valbelluna,06/06/2023
29.1,,BERNARD Elisa,92,ANA ATL.FELTRE,Belluno,17/07/2009
29.42,+0.5,FILOSA Annalisa,99,ANA ATL.FELTRE,Vicenza,03/05/2015
29.43,+0.4,DE BORTOLI Giulia,04,ANA ATL.FELTRE,Vicenza,15/05/2021
29.51,-1.3,BASSANI Rossella,96,ANA ATL.FELTRE,Marcon,06/05/2012
29.71,+0.5,DALLA CORTE Giada,01,ANA ATL.FELTRE,Trento,03/06/2018
29.77,-0.9,MOINO Eleonora,06,ANA ATL.FELTRE,Feltre,08/06/2022
30.33,-0.9,DE RIZ Chiara,05,ANA ATL.FELTRE,Feltre,08/06/2022
30.43,-1.9,MALACARNE Veronica,99,ANA ATL.FELTRE,Marcon,11/04/2015
30.56,+1.0,GALLON Valentina,91,ANA ATL.FELTRE,Bovolone,21/09/2008
31.0,,BRUNELLI Diana,78,ANA ATL.FELTRE,Belluno,12/07/2012
31.43,-2.3,PELLINI Giulia,96,ANA ATL.FELTRE,Marcon,06/05/2012
