Prest.,Vento,Atleta,Anno,Società,Città,Data
1:18.13,,PERCO Emilio,94,ANA ATL.FELTRE,Rovereto,12/04/2014
1:24.6,,POLESANA Filippo,00,ANA ATL.FELTRE,Borgo Valbelluna,21/06/2023
1:25.8,,DE PAOLI Jacopo,88,ANA ATL.FELTRE,Belluno,23/04/2005
1:28.3,,DALLA CORTE Christian,82,ANA ATL.FELTRE,Borgo Valbelluna,21/06/2023
1:31.1,,BRUSATI Alex,04,ANA ATL.FELTRE,Feltre,13/04/2022
1:32.22,,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,Rovereto,14/04/2019
1:33.3,,POLESANA Giacomo,05,ANA ATL.FELTRE,Feltre,13/04/2022
1:37.8,,FANTINEL Davide,05,ANA ATL.FELTRE,Feltre,16/06/2021
1:40.9,,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,Feltre,16/06/2021
1:51.4,,MAZZOCCO Simone,06,ANA ATL.FELTRE,Feltre,13/04/2022
