Prest.,Vento,Atleta,Anno,Società,Città,Data
14.72,+0.4,TIREL Enrico,93,ANA ATL.FELTRE,Vedelago,12/09/2010
15.27,-0.2,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Bassano Del Grappa,17/09/2011
15.54,+0.1,SCOPEL Simone,06,ANA ATL.FELTRE,Borgo Valbelluna,06/06/2023
15.63,+1.5,COLLE Nicola,96,ANA ATL.FELTRE,Trento,08/06/2013
15.77,+1.7,DE PAOLI Federico,02,ANA ATL.FELTRE,Rosa',07/09/2019
16.48,+0.7,VELLO Michele,97,ANA ATL.FELTRE,Trento,04/10/2014
16.57,-1.0,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Vicenza,30/04/2016
16.97,-0.3,PARANI Aire,94,ANA ATL.FELTRE,Verona,02/06/2010
17.12,-0.7,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,Mestre,08/05/2010
17.77,-0.3,CANOVA Luca,91,ANA ATL.FELTRE,Rosa,15/06/2008
