Codice,Versione Sigma,Warning,Disciplina,Nome,Link
REG7808,Vecchio,,60m,60 piani UOMINI,https://www.fidal.it/risultati/2015/REG7808/Gara001.htm
REG7808,Vecchio,,400m,400 metri UOMINI,https://www.fidal.it/risultati/2015/REG7808/Gara006.htm
REG7808,Vecchio,,1000m,1000 metri UOMINI,https://www.fidal.it/risultati/2015/REG7808/Gara009.htm
REG7808,Vecchio,,60m,60 piani DONNE,https://www.fidal.it/risultati/2015/REG7808/Gara101.htm
REG7808,Vecchio,,400m,400 metri DONNE,https://www.fidal.it/risultati/2015/REG7808/Gara106.htm
REG7808,Vecchio,,1000m,1000 metri DONNE,https://www.fidal.it/risultati/2015/REG7808/Gara109.htm
REG7808,Vecchio,,Salto in lungo,Salto in lungo/LJ UOMINI,https://www.fidal.it/risultati/2015/REG7808/Gara028.htm
REG7808,Vecchio,,Salto triplo,Salto triplo/TJ DONNE,https://www.fidal.it/risultati/2015/REG7808/Gara129.htm
REG7808,Vecchio,,Peso 7.260Kg,Peso/SP Kg 7.260 UOMINI,https://www.fidal.it/risultati/2015/REG7808/Gara031.htm
REG7808,Vecchio,,Peso 6.000Kg,Peso/SP Kg 6.000 JUNIORES UOMINI,https://www.fidal.it/risultati/2015/REG7808/Gara032.htm
REG7808,Vecchio,,Peso 5.000Kg,Peso/SP Kg 5.000 ALLIEVI,https://www.fidal.it/risultati/2015/REG7808/Gara033.htm
REG7808,Vecchio,,Peso 4.000Kg,Peso/SP Kg 4.000 DONNE,https://www.fidal.it/risultati/2015/REG7808/Gara131.htm
REG7808,Vecchio,,Peso 3.000Kg,Peso/SP Kg 3.000 ALLIEVE,https://www.fidal.it/risultati/2015/REG7808/Gara132.htm
REG7810,Vecchio,,200m,200 metri UOMINI,https://www.fidal.it/risultati/2015/REG7810/Gara004.htm
REG7810,Vecchio,,800m,800 metri UOMINI,https://www.fidal.it/risultati/2015/REG7810/Gara008.htm
REG7810,Vecchio,,60 Hs h106,60 Hs H 106 UOMINI,https://www.fidal.it/risultati/2015/REG7810/Gara020.htm
