Prestazione,Atleta,Cat.,Anno,Società,Disciplina,Gara
5.93,BAZZONI Pietro,SM,2000.0,VR784 FONDAZIONE M. BENTEGODI,50m,https://www.fidal.it/risultati/2024/REG33597/Gara056.htm
5.97,GAVAGNI Nicholas,JM,2006.0,FI002 ATLETICA FIRENZE MARATHON S.S.,50m,https://www.fidal.it/risultati/2024/REG34028/Gara356.htm
6.04,HABA Gianmarco,PM,2002.0,NA982 ATLETICA LEGGERA PORTICI,50m,https://www.fidal.it/risultati/2024/REG34129/Risultati/Gara056.html
6.06,BIANCARDI Luca,SM,2000.0,SV070 ATLETICA ARCOBALENO SAVONA,50m,https://www.fidal.it/risultati/2024/REG34028/Gara156.htm
6.06,RIGOGOLO Giuseppe,SM,1994.0,BA005 AMATORI ATL. ACQUAVIVA,50m,https://www.fidal.it/risultati/2024/REG34129/Risultati/Gara056.html
6.08,SCARPATI Riccardo,PM,2004.0,CE033 ASD ARCA ATL.AVERSA A.AVERSANO,50m,https://www.fidal.it/risultati/2024/REG34129/Risultati/Gara056.html
6.09,BIANCHINI Giacomo,SM,1999.0,LI036 ATLETICA LIVORNO,50m,https://www.fidal.it/risultati/2024/REG34024/Gara156.htm
6.14,ZANINI Nicolo',PM,2002.0,BG045 ATL. PIANURA BERGAMASCA,50m,https://www.fidal.it/risultati/2024/REG33597/Gara056.htm
6.15,GALLI Lorenzo,PM,2004.0,PI081 ATLETICA CASCINA,50m,https://www.fidal.it/risultati/2024/REG34028/Gara156.htm
6.17,RICCARDI Ciro,SM,1992.0,CE033 ASD ARCA ATL.AVERSA A.AVERSANO,50m,https://www.fidal.it/risultati/2024/REG34129/Risultati/Gara056.html
6.19,GIORGIANNI Andrea emanu,JM,2005.0,ME102 A.S. DILETT. ATL.VILLAFRANCA,50m,https://www.fidal.it/risultati/2024/REG34129/Risultati/Gara056.html
6.19,CANAVESI Stefano,SM,1999.0,CO976 A.S.D. ATLETICA ANDROMEDA,50m,https://www.fidal.it/risultati/2024/REG33597/Gara056.htm
