Prest.,Vento,Atleta,Anno,Società,Città,Data
4.73,+0.0,FONTANA Stefania,94,ANA ATL.FELTRE,Caprino Veronese,08/09/2012
4.73,+0.6,ANDREOLI Vittoria,07,ANA ATL.FELTRE,Padova,01/05/2023
4.73,+1.9,COLUSSI Ilary,06,ANA ATL.FELTRE,Padova,01/05/2023
4.73,+0.0,FONTANA Stefania,94,ANA ATL.FELTRE,Caprino Veronese,08/09/2012
4.73,+0.6,ANDREOLI Vittoria,07,ANA ATL.FELTRE,Padova,01/05/2023
4.73,+1.9,COLUSSI Ilary,06,ANA ATL.FELTRE,Padova,01/05/2023
4.72,,FACCHIN Alessia,93,ANA ATL.FELTRE,Belluno,10/04/2010
4.72,,FACCHIN Alessia,93,ANA ATL.FELTRE,Belluno,10/04/2010
4.71,-0.2,MARAZZINI Giulia,98,ANA ATL.FELTRE,Vicenza,11/05/2014
4.71,-0.2,MARAZZINI Giulia,98,ANA ATL.FELTRE,Vicenza,11/05/2014
4.68,+1.3,DE RIZ Chiara,05,ANA ATL.FELTRE,Caorle,22/05/2022
4.68,+1.3,DE RIZ Chiara,05,ANA ATL.FELTRE,Caorle,22/05/2022
4.63,+0.0,ZANCANARO Monica,85,ANA ATL.FELTRE,Paderno Di Ponzano Veneto,10/06/2016
4.63,+0.1,COLUSSI Ilary,06,ANA ATL.FELTRE,Modena,25/04/2022
4.63,+0.0,ZANCANARO Monica,85,ANA ATL.FELTRE,Paderno Di Ponzano Veneto,10/06/2016
4.63,+0.1,COLUSSI Ilary,06,ANA ATL.FELTRE,Modena,25/04/2022
4.61,+0.6,TAMBURLIN Anna,00,ANA ATL.FELTRE,Agordo,22/05/2016
4.61,+2.1,TAMBURLIN Anna,00,ANA ATL.FELTRE,Caorle,28/05/2016
4.61,,ZANON Gaia,02,ANA ATL.FELTRE,Agordo,15/06/2019
4.61,+0.6,TAMBURLIN Anna,00,ANA ATL.FELTRE,Agordo,22/05/2016
4.61,+2.1,TAMBURLIN Anna,00,ANA ATL.FELTRE,Caorle,28/05/2016
4.61,,ZANON Gaia,02,ANA ATL.FELTRE,Agordo,15/06/2019
4.60,+0.4,COLUSSI Ilary,06,ANA ATL.FELTRE,Padova,01/05/2022
4.60,+0.4,COLUSSI Ilary,06,ANA ATL.FELTRE,Padova,01/05/2022
4.57,,COLUSSI Ilary,06,ANA ATL.FELTRE,Agordo,31/08/2022
4.57,,COLUSSI Ilary,06,ANA ATL.FELTRE,Agordo,31/08/2022
4.56,+3.3,ZANON Gaia,02,ANA ATL.FELTRE,Padova,23/05/2021
4.56,+3.3,ZANON Gaia,02,ANA ATL.FELTRE,Padova,23/05/2021
4.53,-1.2,FACCHIN Alessia,93,ANA ATL.FELTRE,Verona,30/05/2010
4.53,+0.1,MAHJOUBI Gaia,04,ANA ATL.FELTRE,Cles,26/09/2021
4.53,+1.1,DE RIZ Chiara,05,ANA ATL.FELTRE,Padova,01/05/2022
4.53,-1.2,FACCHIN Alessia,93,ANA ATL.FELTRE,Verona,30/05/2010
4.53,+0.1,MAHJOUBI Gaia,04,ANA ATL.FELTRE,Cles,26/09/2021
4.53,+1.1,DE RIZ Chiara,05,ANA ATL.FELTRE,Padova,01/05/2022
4.51,+1.4,ZANON Gaia,02,ANA ATL.FELTRE,Udine,08/08/2020
4.51,+1.4,ZANON Gaia,02,ANA ATL.FELTRE,Udine,08/08/2020
4.50,,FACCHIN Alessia,93,ANA ATL.FELTRE,Feltre,20/06/2009
4.50,+1.2,ZANON Gaia,02,ANA ATL.FELTRE,Padova,23/05/2021
4.50,+0.0,DE RIZ Chiara,05,ANA ATL.FELTRE,Padova,15/05/2022
4.50,,FACCHIN Alessia,93,ANA ATL.FELTRE,Feltre,20/06/2009
4.50,+1.2,ZANON Gaia,02,ANA ATL.FELTRE,Padova,23/05/2021
4.50,+0.0,DE RIZ Chiara,05,ANA ATL.FELTRE,Padova,15/05/2022
4.47,+0.9,DE RIZ Chiara,05,ANA ATL.FELTRE,Verona,08/05/2022
4.47,+0.9,DE RIZ Chiara,05,ANA ATL.FELTRE,Verona,08/05/2022
4.46,+1.9,DE RIZ Chiara,05,ANA ATL.FELTRE,Modena,25/04/2022
4.46,+1.9,DE RIZ Chiara,05,ANA ATL.FELTRE,Modena,25/04/2022
4.43,+1.6,TAMBURLIN Anna,00,ANA ATL.FELTRE,Caorle,28/05/2016
4.43,+1.6,TAMBURLIN Anna,00,ANA ATL.FELTRE,Caorle,28/05/2016
4.42,-2.4,TAMBURLIN Anna,00,ANA ATL.FELTRE,Vicenza,14/05/2017
4.42,-2.4,TAMBURLIN Anna,00,ANA ATL.FELTRE,Vicenza,14/05/2017
4.41,+1.5,STRAPPAZZON Irene,96,ANA ATL.FELTRE,Padova,23/05/2013
4.41,+1.5,STRAPPAZZON Irene,96,ANA ATL.FELTRE,Padova,23/05/2013
4.39,+0.2,D'ALBERTO Elena,00,ANA ATL.FELTRE,Vicenza,14/05/2017
4.39,+0.2,D'ALBERTO Elena,00,ANA ATL.FELTRE,Vicenza,14/05/2017
4.38,+0.0,STRAPPAZZON Irene,96,ANA ATL.FELTRE,Conegliano,07/06/2013
4.38,+0.0,STRAPPAZZON Irene,96,ANA ATL.FELTRE,Conegliano,07/06/2013
4.36,+2.6,ZANON Gaia,02,ANA ATL.FELTRE,Treviso,26/07/2020
4.36,+2.6,ZANON Gaia,02,ANA ATL.FELTRE,Treviso,26/07/2020
4.35,+0.6,ZANON Gaia,02,ANA ATL.FELTRE,Vicenza,09/05/2021
4.35,+0.6,ZANON Gaia,02,ANA ATL.FELTRE,Vicenza,09/05/2021
4.34,+0.9,TAMBURLIN Anna,00,ANA ATL.FELTRE,Vicenza,01/05/2016
4.34,+0.9,TAMBURLIN Anna,00,ANA ATL.FELTRE,Vicenza,01/05/2016
4.32,+0.5,ZANON Gaia,02,ANA ATL.FELTRE,Vicenza,16/05/2021
4.32,+0.5,ZANON Gaia,02,ANA ATL.FELTRE,Vicenza,16/05/2021
4.31,+0.3,MAHJOUBI Gaia,04,ANA ATL.FELTRE,Padova,24/04/2021
4.31,+0.3,MAHJOUBI Gaia,04,ANA ATL.FELTRE,Padova,24/04/2021
4.29,+2.9,RAVEANE Giorgia,02,ANA ATL.FELTRE,San Biagio Di Callalta,13/05/2018
4.29,+2.9,RAVEANE Giorgia,02,ANA ATL.FELTRE,San Biagio Di Callalta,13/05/2018
4.25,+1.9,DE BARBA Elena,04,ANA ATL.FELTRE,Treviso,26/07/2020
4.25,+1.9,DE BARBA Elena,04,ANA ATL.FELTRE,Treviso,26/07/2020
4.23,-0.5,RAVEANE Giorgia,02,ANA ATL.FELTRE,San Giovanni Lupatoto,08/04/2018
4.23,-0.5,RAVEANE Giorgia,02,ANA ATL.FELTRE,San Giovanni Lupatoto,08/04/2018
4.19,+1.0,FIAMMENGO Angelica,95,ANA ATL.FELTRE,Vicenza,27/05/2012
4.19,,PARTELI Elena,00,ANA ATL.FELTRE,Feltre,14/10/2017
4.19,+1.0,FIAMMENGO Angelica,95,ANA ATL.FELTRE,Vicenza,27/05/2012
4.19,,PARTELI Elena,00,ANA ATL.FELTRE,Feltre,14/10/2017
4.13,+2.5,DAL ZOTTO Benedetta,05,ANA ATL.FELTRE,Vicenza,09/05/2021
4.13,+2.5,DAL ZOTTO Benedetta,05,ANA ATL.FELTRE,Vicenza,09/05/2021
4.12,+0.0,TAMBURLIN Anna,00,ANA ATL.FELTRE,Rossano Veneto,11/09/2016
4.12,+0.0,TAMBURLIN Anna,00,ANA ATL.FELTRE,Rossano Veneto,11/09/2016
4.10,+0.8,STRAPPAZZON Irene,96,ANA ATL.FELTRE,Vicenza,19/05/2013
4.10,+0.2,TAMBURLIN Anna,00,ANA ATL.FELTRE,Rosa,18/09/2016
4.10,+0.7,DE BARBA Elena,04,ANA ATL.FELTRE,Abano Terme,31/07/2020
