Prest.,Vento,Atleta,Anno,Società,Città,Data
5.78,-0.4,CANOVA Luca,91,ANA ATL.FELTRE,Rosa,14/06/2008
5.78,+2.1,TAMBURLIN Piero,96,ANA ATL.FELTRE,Montebelluna,05/05/2013
5.78,-0.5,TAMBURLIN Piero,96,ANA ATL.FELTRE,Vicenza,11/05/2014
5.78,+2.3,VELLO Michele,97,ANA ATL.FELTRE,Agordo,22/05/2016
5.78,+3.8,ARGENTA Alessio,06,ANA ATL.FELTRE,Vittorio Veneto,28/05/2022
5.77,+0.9,ARGENTA Alessio,06,ANA ATL.FELTRE,Padova,01/05/2023
5.77,+0.9,ARGENTA Alessio,06,ANA ATL.FELTRE,Padova,01/05/2023
5.76,+0.8,TREVISAN David,94,ANA ATL.FELTRE,Vicenza,22/05/2011
5.76,+0.0,SARTORI Tommaso,95,ANA ATL.FELTRE,Bastia Umbra,24/06/2012
5.76,+1.7,TAMBURLIN Piero,96,ANA ATL.FELTRE,Marcon,10/05/2015
5.76,+0.8,TREVISAN David,94,ANA ATL.FELTRE,Vicenza,22/05/2011
5.76,+0.0,SARTORI Tommaso,95,ANA ATL.FELTRE,Bastia Umbra,24/06/2012
5.76,+1.7,TAMBURLIN Piero,96,ANA ATL.FELTRE,Marcon,10/05/2015
5.75,-1.0,BIESUZ Enrico,02,ANA ATL.FELTRE,Piombino Dese,25/04/2018
5.75,-1.0,BIESUZ Enrico,02,ANA ATL.FELTRE,Piombino Dese,25/04/2018
5.74,+0.1,TAMBURLIN Piero,96,ANA ATL.FELTRE,Montebelluna,05/05/2013
5.74,+0.1,TAMBURLIN Piero,96,ANA ATL.FELTRE,Montebelluna,05/05/2013
5.69,+0.7,VENDRAME Marco,95,ANA ATL.FELTRE,Vicenza,22/05/2011
5.69,+0.0,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Bovolone,02/10/2016
5.69,+0.5,BENVEGNU' Edoardo,00,ANA ATL.FELTRE,Chiari,01/10/2017
5.69,-2.1,BIESUZ Enrico,02,ANA ATL.FELTRE,San Biagio Di Callalta,13/05/2018
5.69,+0.7,VENDRAME Marco,95,ANA ATL.FELTRE,Vicenza,22/05/2011
5.69,+0.0,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Bovolone,02/10/2016
5.69,+0.5,BENVEGNU' Edoardo,00,ANA ATL.FELTRE,Chiari,01/10/2017
5.69,-2.1,BIESUZ Enrico,02,ANA ATL.FELTRE,San Biagio Di Callalta,13/05/2018
5.66,-3.7,BIESUZ Enrico,02,ANA ATL.FELTRE,San Giovanni Lupatoto,08/04/2018
5.66,-3.7,BIESUZ Enrico,02,ANA ATL.FELTRE,San Giovanni Lupatoto,08/04/2018
5.65,+0.8,TAMBURLIN Piero,96,ANA ATL.FELTRE,Vicenza,19/05/2013
5.65,+0.8,TAMBURLIN Piero,96,ANA ATL.FELTRE,Vicenza,19/05/2013
5.63,-0.4,TAMBURLIN Piero,96,ANA ATL.FELTRE,Rossano Veneto,01/09/2013
5.63,+0.7,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Caprino Veronese,28/06/2015
5.63,-0.4,TAMBURLIN Piero,96,ANA ATL.FELTRE,Rossano Veneto,01/09/2013
5.63,+0.7,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Caprino Veronese,28/06/2015
5.61,+0.7,SOPPELSA Mattia,94,ANA ATL.FELTRE,Saronno,12/06/2011
5.61,+0.7,SOPPELSA Mattia,94,ANA ATL.FELTRE,Saronno,12/06/2011
5.60,+0.1,VENDRAME Marco,95,ANA ATL.FELTRE,Rovigo,08/05/2011
5.60,+0.1,VENDRAME Marco,95,ANA ATL.FELTRE,Rovigo,08/05/2011
5.58,-0.3,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,Saronno,27/06/2010
5.58,+1.1,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Caprino Veronese,28/06/2015
5.58,-0.3,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,Saronno,27/06/2010
5.58,+1.1,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Caprino Veronese,28/06/2015
5.57,+0.0,DE PAOLI Federico,02,ANA ATL.FELTRE,San Vito Al Tagliamento,31/08/2019
5.57,+0.0,DE PAOLI Federico,02,ANA ATL.FELTRE,San Vito Al Tagliamento,31/08/2019
5.56,,CANOVA Luca,91,ANA ATL.FELTRE,Belluno,29/08/2007
5.56,,CANOVA Luca,91,ANA ATL.FELTRE,Belluno,29/08/2007
5.55,,TAMBURLIN Piero,96,ANA ATL.FELTRE,Feltre,14/04/2012
5.55,,TAMBURLIN Piero,96,ANA ATL.FELTRE,Feltre,14/04/2012
5.52,-0.3,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Vicenza,22/05/2011
5.52,+0.9,ARGENTA Alessio,06,ANA ATL.FELTRE,Caorle,22/05/2022
5.52,-0.3,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Vicenza,22/05/2011
5.52,+0.9,ARGENTA Alessio,06,ANA ATL.FELTRE,Caorle,22/05/2022
5.51,-0.1,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,Feltre,19/06/2010
5.51,-0.1,PHUSRIRIT Wikran,98,ANA ATL.FELTRE,Aquila,04/10/2015
5.51,+1.5,VELLO Michele,97,ANA ATL.FELTRE,Bussolengo,07/05/2017
5.51,-0.1,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,Feltre,19/06/2010
5.51,-0.1,PHUSRIRIT Wikran,98,ANA ATL.FELTRE,Aquila,04/10/2015
5.51,+1.5,VELLO Michele,97,ANA ATL.FELTRE,Bussolengo,07/05/2017
5.48,+0.7,SARTORI Tommaso,95,ANA ATL.FELTRE,Vicenza,27/05/2012
5.48,+0.7,SARTORI Tommaso,95,ANA ATL.FELTRE,Vicenza,27/05/2012
5.47,+0.0,VOICU Ioan alexandru,97,ANA ATL.FELTRE,Trento,05/10/2014
5.47,+0.0,VOICU Ioan alexandru,97,ANA ATL.FELTRE,Trento,05/10/2014
5.45,-0.3,ARGENTA Alessio,06,ANA ATL.FELTRE,Modena,25/04/2022
5.45,+0.3,ARGENTA Alessio,06,ANA ATL.FELTRE,Padova,15/05/2022
5.45,-0.3,ARGENTA Alessio,06,ANA ATL.FELTRE,Modena,25/04/2022
5.45,+0.3,ARGENTA Alessio,06,ANA ATL.FELTRE,Padova,15/05/2022
5.44,+2.7,ARGENTA Alessio,06,ANA ATL.FELTRE,Verona,08/05/2022
5.44,,ARGENTA Alessio,06,ANA ATL.FELTRE,Venezia,18/05/2022
5.44,+2.7,ARGENTA Alessio,06,ANA ATL.FELTRE,Verona,08/05/2022
5.44,,ARGENTA Alessio,06,ANA ATL.FELTRE,Venezia,18/05/2022
5.42,,PHUSRIRIT Wikran,98,ANA ATL.FELTRE,Agordo,18/10/2014
5.42,,PHUSRIRIT Wikran,98,ANA ATL.FELTRE,Agordo,18/10/2014
5.35,+2.8,TAMBURLIN Piero,96,ANA ATL.FELTRE,Abano Terme,13/05/2012
5.35,+2.8,TAMBURLIN Piero,96,ANA ATL.FELTRE,Abano Terme,13/05/2012
5.33,+1.7,TAMBURLIN Piero,96,ANA ATL.FELTRE,Abano Terme,13/05/2012
5.33,-0.2,PHUSRIRIT Wikran,98,ANA ATL.FELTRE,Padova,21/09/2014
5.33,-2.1,COSTA Edgard,99,ANA ATL.FELTRE,Vicenza,03/05/2015
5.33,+1.1,SCOPEL Simone,06,ANA ATL.FELTRE,Lana,23/04/2022
5.33,+1.7,TAMBURLIN Piero,96,ANA ATL.FELTRE,Abano Terme,13/05/2012
5.33,-0.2,PHUSRIRIT Wikran,98,ANA ATL.FELTRE,Padova,21/09/2014
5.33,-2.1,COSTA Edgard,99,ANA ATL.FELTRE,Vicenza,03/05/2015
5.33,+1.1,SCOPEL Simone,06,ANA ATL.FELTRE,Lana,23/04/2022
5.31,-0.6,VELLO Michele,97,ANA ATL.FELTRE,Catania,17/06/2017
5.31,-0.5,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Lana,03/09/2022
5.31,-0.6,VELLO Michele,97,ANA ATL.FELTRE,Catania,17/06/2017
5.31,-0.5,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Lana,03/09/2022
5.30,-1.0,ARGENTA Alessio,06,ANA ATL.FELTRE,Padova,01/05/2022
5.30,-1.0,ARGENTA Alessio,06,ANA ATL.FELTRE,Padova,01/05/2022
5.26,+1.0,ARGENTA Alessio,06,ANA ATL.FELTRE,Verona,08/05/2022
5.26,+1.0,ARGENTA Alessio,06,ANA ATL.FELTRE,Verona,08/05/2022
5.25,+1.1,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Vicenza,20/05/2012
5.25,+1.1,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Vicenza,20/05/2012
5.24,+1.0,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,Mestre,09/05/2010
5.24,+1.2,HAROUF Omar,99,ANA ATL.FELTRE,Vicenza,01/05/2016
5.24,-1.0,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,Vicenza,14/05/2017
5.24,+1.0,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,Mestre,09/05/2010
5.24,+1.2,HAROUF Omar,99,ANA ATL.FELTRE,Vicenza,01/05/2016
5.24,-1.0,MAHJOUBI Amir mattia,00,ANA ATL.FELTRE,Vicenza,14/05/2017
5.20,+1.9,VELLO Michele,97,ANA ATL.FELTRE,Agordo,22/05/2016
5.20,+1.9,VELLO Michele,97,ANA ATL.FELTRE,Agordo,22/05/2016
5.19,+1.2,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,Verona,30/05/2010
5.19,+1.2,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,Verona,30/05/2010
5.13,+0.4,VELLO Michele,97,ANA ATL.FELTRE,San Biagio Di Callalta,21/05/2017
5.13,+0.4,VELLO Michele,97,ANA ATL.FELTRE,San Biagio Di Callalta,21/05/2017
5.10,-0.3,COSTA Edgard,99,ANA ATL.FELTRE,Marcon,11/04/2015
5.10,-0.3,COSTA Edgard,99,ANA ATL.FELTRE,Marcon,11/04/2015
5.03,-0.5,GRIS Matteo,02,ANA ATL.FELTRE,Piombino Dese,25/04/2018
5.03,-0.5,GRIS Matteo,02,ANA ATL.FELTRE,Piombino Dese,25/04/2018
4.98,,COPPE Giulio,93,ANA ATL.FELTRE,Feltre,20/06/2009
4.98,,COPPE Giulio,93,ANA ATL.FELTRE,Feltre,20/06/2009
4.95,-2.7,GRIS Matteo,02,ANA ATL.FELTRE,San Giovanni Lupatoto,08/04/2018
4.95,-2.7,GRIS Matteo,02,ANA ATL.FELTRE,San Giovanni Lupatoto,08/04/2018
4.92,-0.4,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Lana,23/04/2022
4.92,-0.4,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Lana,23/04/2022
4.89,-1.9,HAROUF Omar,99,ANA ATL.FELTRE,Vicenza,08/05/2016
4.89,-1.9,HAROUF Omar,99,ANA ATL.FELTRE,Vicenza,08/05/2016
4.85,+0.6,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Bovolone,29/04/2023
4.85,+0.6,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Bovolone,29/04/2023
4.83,+2.3,GRIS Matteo,02,ANA ATL.FELTRE,Caorle,06/05/2018
4.83,+2.3,GRIS Matteo,02,ANA ATL.FELTRE,Caorle,06/05/2018
4.79,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Alpago,16/10/2021
4.79,,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Alpago,16/10/2021
4.67,-0.1,ZAPPIA Matteo,98,ANA ATL.FELTRE,Vicenza,04/05/2014
4.67,-0.1,ZAPPIA Matteo,98,ANA ATL.FELTRE,Vicenza,04/05/2014
4.40,-2.6,GRIS Matteo,02,ANA ATL.FELTRE,San Biagio Di Callalta,13/05/2018
4.40,-2.6,GRIS Matteo,02,ANA ATL.FELTRE,San Biagio Di Callalta,13/05/2018
4.36,+0.3,PERSICO Michele,98,ANA ATL.FELTRE,Vicenza,08/05/2016
4.36,+0.3,PERSICO Michele,98,ANA ATL.FELTRE,Vicenza,08/05/2016
