Prest.,Vento,Atleta,Anno,Società,Città,Data
17.19,-1.8,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Vedelago,30/06/2018
17.2,+0.0,MANISCALCHI Stefano,90,ANA ATL.FELTRE,Pous D Alpago,08/04/2006
17.44,,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Rovereto,14/04/2019
17.57,-1.5,GIAZZON Francesco,00,ANA ATL.FELTRE,Rovereto,22/04/2017
17.58,-1.3,DALLA SEGA Davide,99,ANA ATL.FELTRE,Rovereto,22/04/2017
17.60,,DALLA SEGA Davide,99,ANA ATL.FELTRE,Rovereto,14/04/2019
17.85,-2.6,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,Rovereto,22/04/2017
17.7,-2.0,ZABOT Julian,02,ANA ATL.FELTRE,Feltre,26/03/2022
17.7,-2.0,DE PAOLI Federico,02,ANA ATL.FELTRE,Feltre,26/03/2022
18.03,-3.9,MANISCALCHI Stefano,90,ANA ATL.FELTRE,Rovereto,22/04/2017
18.28,,CRIVELLER Marco,03,ANA ATL.FELTRE,Rovereto,14/04/2019
18.5,-2.0,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Feltre,26/03/2022
18.6,-2.0,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,Feltre,26/03/2022
