Prestazione,Atleta,Cat.,Anno,Società,Disciplina,Gara
6.48,FERNANDEZ ALFONSO Jenns,SM,2001.0,TN131 LAGARINA CRUS TEAM,60m,https://www.fidal.it/risultati/2024/REG33819/Risultati/Gara001.html
6.52,FERNANDEZ ALFONSO Jenns reynold,SM,2001.0,TN131 LAGARINA CRUS TEAM,60m,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara001.html
6.59,SIMONELLI Lorenzo ndele,PM,2002.0,RM052 C.S. ESERCITO,60m,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara001.html
6.65,MELLUZZO Matteo,PM,2002.0,RM056 G.A. FIAMME GIALLE,60m,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara001.html
6.65,RICCI Marco,SM,2001.0,RM052 C.S. ESERCITO,60m,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara001.html
6.67,ZLATAN Andrei alexandru,SM,1998.0,MO052 A.S. LA FRATELLANZA 1874,60m,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara001.html
6.7,MAREK Eric,PM,2003.0,BG003 ATL. BERGAMO 1959 ORIOCENTER,60m,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara203.html
6.71,BANDAOGO Yassin,PM,2004.0,PD131 G.S. FIAMME ORO PADOVA,60m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara201.html
6.72,ZLATAN Andrei Alexandru,SM,1998.0,MO052 A.S. LA FRATELLANZA 1874,60m,https://www.fidal.it/risultati/2024/REG33593/Gara001.htm
6.72,ULISSE Angelo,PM,2003.0,RM056 G.A. FIAMME GIALLE,60m,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara001.html
6.73,CASSANO Luca antonio,SM,1995.0,RM053 C.S. AERONAUTICA MILITARE,60m,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara001.html
6.73,NDIAYE Mame moussa,SM,1999.0,BG045 ATL. PIANURA BERGAMASCASEN SENEGAL,60m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara201.html
6.74,IANES Lorenzo,SM,2000.0,BZ066 ATHLETIC CLUB 96 ALPERIA,60m,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara001.html
6.75,DONOLA Mattia,SM,2000.0,BO011 C.S. CARABINIERI SEZ. ATLETICA,60m,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara001.html
6.77,FOLAJIN FONSECA Jim,SM,1997.0,PV110 ATL. CENTO TORRI PAVIA,60m,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara203.html
6.77,MANINI Federico,SM,2001.0,MI077 CUS PRO PATRIA MILANO,60m,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara001.html
6.78,SANCIN Enrico,PM,2002.0,TS044 TRIESTE ATLETICA,60m,https://www.fidal.it/risultati/2024/REG33868/Risultati/Gara001.html
6.78,FEDERICI Andrea,SM,1997.0,VE471 ASD ATLETICA BIOTEKNA,60m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara201.html
6.79,TARDIOLI Junior,PM,2003.0,PG089 A.S.D EDUCARE CON IL MOVIMENTO,60m,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara001.html
6.8,SILVESTRELLI Mattia,JM,2005.0,RI223 ATL.STUD. RIETI ANDREA MILARDI,60m,https://www.fidal.it/risultati/2024/REG33763/Risultati/Gara001.html
6.81,ARTUSO Nicholas,SM,1998.0,RM056 G.A. FIAMME GIALLE,60m,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara001.html
6.81,MONACI Romeo,JM,2005.0,GR065 ATLETICA GROSSETO BANCA TEMA,60m,https://www.fidal.it/risultati/2024/REG33819/Risultati/Gara001.html
6.81,LONGOBARDI Eduardo,JM,2005.0,RM056 G.A. FIAMME GIALLE,60m,https://www.fidal.it/risultati/2024/REG33763/Risultati/Gara001.html
6.81,CAPPELLETTI Filippo,PM,2003.0,VA119 ATL. O.S.A. SARONNO LIB.,60m,https://www.fidal.it/risultati/2024/REG33674/Risultati/Gara203.html
6.82,YEBARTH Fabio angelo,SM,2000.0,FM003 SPORT ATL. FERMO,60m,https://www.fidal.it/risultati/2024/REG33819/Risultati/Gara001.html
6.82,FAGGIN Alessio,PM,2003.0,PD131 G.S. FIAMME ORO PADOVA,60m,https://www.fidal.it/risultati/2024/REG33873/Risultati/Gara401.html
6.83,GUIDOLIN Davide,PM,2003.0,VI626 ATL.VICENTINA,60m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara201.html
6.83,NAPPI Diego,AM,2007.0,SS059 ATL LEGG PORTO TORRES,60m,https://www.fidal.it/risultati/2024/REG33763/Risultati/Gara001.html
6.84,NAPOLINI Matteo,SM,2000.0,RM363 SSD NISSOLINO SPORT SRL ASU,60m,https://www.fidal.it/risultati/2024/REG33660/Risultati/Gara001.html
6.85,ORLANDO Daniele,AM,2007.0,NA982 ATLETICA LEGGERA PORTICI,60m,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara001.html
6.85,MESSINA Paolo,PM,2002.0,RM056 G.A. FIAMME GIALLE,60m,https://www.fidal.it/risultati/2024/REG33873/Risultati/Gara401.html
6.85,MASTRACCI Fabio massimo,PM,2002.0,RM363 SSD NISSOLINO SPORT SRL ASU,60m,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara001.html
6.86,RIPARELLI Jacques,SM40,1983.0,BZ066 ATHLETIC CLUB 96 ALPERIA,60m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara201.html
6.87,BISCARINI Tommaso,PM,2002.0,TR024 ASS.ATL.LIBERTAS ORVIETO,60m,https://www.fidal.it/risultati/2024/REG33660/Risultati/Gara001.html
6.87,BARESI Tommaso Alessio,PM,2002.0,MI077 CUS PRO PATRIA MILANO,60m,https://www.fidal.it/risultati/2024/REG33593/Gara001.htm
6.87,LURASCHI Edoardo,PM,2002.0,VA119 ATL. O.S.A. SARONNO LIB.,60m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara201.html
6.87,CAPASSO Jacopo,PM,2004.0,RI223 ATL.STUD. RIETI ANDREA MILARDI,60m,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara001.html
6.87,INZOLI Daniele leonardo,AM,2008.0,MI080 ATL. RICCARDI MILANO 1946,60m,https://www.fidal.it/risultati/2024/REG33819/Risultati/Gara001.html
6.88,MEZZALANA Erik,PM,2002.0,RI223 ATL.STUD. RIETI ANDREA MILARDI,60m,https://www.fidal.it/risultati/2024/REG33819/Risultati/Gara001.html
6.88,GAUZE David desiba,PM,2003.0,VE474 GA ARISTIDE COIN VENEZIA 1949,60m,https://www.fidal.it/risultati/2024/REG33873/Risultati/Gara401.html
6.89,ZATELLI Francesco,PM,2004.0,TN101 ATLETICA TRENTO,60m,https://www.fidal.it/risultati/2024/REG33596/Gara401.htm
6.89,TANZILLI Simone,SM,1996.0,MI080 ATL. RICCARDI MILANO 1946,60m,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara203.html
6.89,PAGLIARINI Francesco,AM,2007.0,PU001 ATLETICA FANO TECHFEM,60m,https://www.fidal.it/risultati/2024/COD11603/Risultati/Gara001.html
6.9,PIERAGOSTINI Alessio,SM,1999.0,RM363 SSD NISSOLINO SPORT SRL ASU,60m,https://www.fidal.it/risultati/2024/REG33763/Risultati/Gara001.html
6.9,RIGNANESE Samuele,PM,2003.0,BG003 ATL. BERGAMO 1959 ORIOCENTER,60m,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara203.html
6.9,CORIANI Riccardo,SM,1995.0,MI077 CUS PRO PATRIA MILANO,60m,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara203.html
6.9,GROOS Daniele,JM,2005.0,RM555 A.S.D. ATLETICA FUTURA ROMA,60m,https://www.fidal.it/risultati/2024/REG33763/Risultati/Gara001.html
6.9,ARNABOLDI Mattia italo,PM,2004.0,MI080 ATL. RICCARDI MILANO 1946,60m,https://www.fidal.it/risultati/2024/REG33680/Risultati/Gara204.html
6.91,KYEREME Michael Dwabena,SM,1997.0,RE105 G.S.SELF ATL. MONTANARI GRUZZA,60m,https://www.fidal.it/risultati/2024/REG33593/Gara001.htm
6.91,BAZZONI Pietro,SM,2000.0,VR784 FONDAZIONE M. BENTEGODI,60m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara201.html
6.91,CELEBRIN Federico,PM,2004.0,TV354 TREVISATLETICA,60m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara201.html
6.91,BULLANI Felipe carlo,JM,2005.0,VA119 ATL. O.S.A. SARONNO LIB.,60m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara201.html
6.91,MANETTI Alessandro,PM,2004.0,FI002 ATLETICA FIRENZE MARATHON S.S.,60m,https://www.fidal.it/risultati/2024/REG33763/Risultati/Gara001.html
6.92,LANGIULLI Paolo,PM,2003.0,BA754 G.S. AVIS BARLETTA A.S.D.,60m,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara001.html
6.92,ABBINANTE Stefano,PM,2003.0,BA091 ADEN EXPRIVIA DAI OPTICAL MOLF,60m,https://www.fidal.it/risultati/2024/REG33763/Risultati/Gara001.html
6.92,MASTRANGELI Luca,SM,2001.0,RM161 ATL. ROMA ACQUACETOSA,60m,https://www.fidal.it/risultati/2024/REG33763/Risultati/Gara001.html
6.92,REZZADORI Davide,PM,2004.0,TN109 U.S. QUERCIA DAO CONAD,60m,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara201.html
6.92,BIANCHI Giovanni,SM,2000.0,TR024 ASS.ATL.LIBERTAS ORVIETO,60m,https://www.fidal.it/risultati/2024/REG33660/Risultati/Gara001.html
6.92,NDONGALA Mattia jason,PM,2003.0,TO002 SISPORT SSD,60m,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara101.html
6.92,VITALI Pietro,PM,2004.0,BG795 BERGAMO STARS ATLETICA,60m,https://www.fidal.it/risultati/2024/REG33819/Risultati/Gara001.html
6.92,PAOLETTA Fabio,SM,1992.0,RM050 S.S. LAZIO ATLETICA LEGGERA,60m,https://www.fidal.it/risultati/2024/REG33819/Risultati/Gara001.html
