Data	Codice	Nome	Home Gara	Home	Risultati	Versione Sigma	Status	Ultimo Aggiornamento
2024-01-05	REG34144	5° Campionato Nazionale “Befana Aics Indoor”	https://www.fidal.it/calendario/5-Campionato-Nazionale-“Befana-Aics-Indoor”/REG34144	https://www.fidal.it/risultati/2024/REG34144/Index.htm	https://www.fidal.it/risultati/2024/REG34144/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-03-17
2024-01-05	COD11716	Camp. Nazionali AICS Indoor	https://www.fidal.it/calendario/Camp--Nazionali-AICS-Indoor/COD11716	https://www.fidal.it/risultati/2024/COD11716/Index.htm	https://www.fidal.it/risultati/2024/COD11716/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-03-17
2024-01-05	COD11701	III^ Padova Pole Vault Convention	https://www.fidal.it/calendario/III^-Padova-Pole-Vault-Convention/COD11701	https://www.fidal.it/risultati/2024/COD11701/Index.htm	https://www.fidal.it/risultati/2024/COD11701/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-03-17
2024-01-06	REG33671	RIUNIONE REGIONALE DI LUNGO ASSOLUTI INDOOR	https://www.fidal.it/calendario/RIUNIONE-REGIONALE-DI-LUNGO-ASSOLUTI-INDOOR/REG33671	https://www.fidal.it/risultati/2024/REG33671/Index.htm	https://www.fidal.it/risultati/2024/REG33671/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-03-17
2024-01-06	REG34024	MEETING CARRARA INDOOR 1^ manifestazione	https://www.fidal.it/calendario/MEETING-CARRARA-INDOOR-1^-manifestazione/REG34024	https://www.fidal.it/risultati/2024/REG34024/Index.htm	https://www.fidal.it/risultati/2024/REG34024/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-03-17
2024-01-06	REG33658	MEETING ASSOLUTI INDOOR - APERTURA STAGIONE	https://www.fidal.it/calendario/MEETING-ASSOLUTI-INDOOR-APERTURA-STAGIONE/REG33658	https://www.fidal.it/risultati/2024/REG33658/Index.htm	https://www.fidal.it/risultati/2024/REG33658/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-03-17
2024-01-07	REG33592	ANNULLATA PARMA MEETING ASSOLUTO / GIOVANILE	https://www.fidal.it/calendario/ANNULLATA-PARMA-MEETING-ASSOLUTO-GIOVANILE/REG33592	https://www.fidal.it/risultati/2024/REG33592/Index.htm	https://www.fidal.it/risultati/2024/REG33592/Index.htm	Vecchissimo	ok	2024-03-17
2024-01-07	REG33997	RINV: 1^ Manifestazione Regionale Indoor	https://www.fidal.it/calendario/RINV-1^-Manifestazione-Regionale-Indoor/REG33997				Gara non esistente	2024-03-17
2024-01-07	REG34025	MEETING CARRARA INDOOR 2^ manifestazione	https://www.fidal.it/calendario/MEETING-CARRARA-INDOOR-2^-manifestazione/REG34025	https://www.fidal.it/risultati/2024/REG34025/Index.htm	https://www.fidal.it/risultati/2024/REG34025/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-03-17
2024-01-07	REG33660	MEETING NAZIONALE INDOOR ASSOLUTI	https://www.fidal.it/calendario/MEETING-NAZIONALE-INDOOR-ASSOLUTI/REG33660	https://www.fidal.it/risultati/2024/REG33660/Index.htm	https://www.fidal.it/risultati/2024/REG33660/Risultati/IndexRisultatiPerGara.html	Nuovo	ok	2024-03-17
